Date,Model,Capacity,Price,Link,Description
2024-06-21,iPhone 8,64GB,"€ 85,00",De telefoon werkt nog goed en ziet er heel goed uit. Batterij is nog 83%.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128667571-iphone-8-64-gb-space-grey
2024-06-21,iPhone 8 Plus,64GB,"€ 120,00",Hierbij verkoop ik een iphone 8 plus met 64 gb opslag. Alles werkt naar behoren met een batterijpercentage van 78% helaas heb ik d,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128572393-apple-iphone-8-plus-64gb
2024-06-21,iPhone 8 Plus,64GB,"€ 80,00","64gb , werkt naar toebehoren. Batterij conditie: 75% excl oplader geen onzin biedingen",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128620647-iphone-8-plus-zilver-64gb
2024-06-21,iPhone 8,64GB,"€ 100,00",Ik verkoop dit omdat ik een nieuwe heb aangeschaft. De conditie is zo goed als nieuw. Er zijn geen gebruikers sporen aanwezig en h,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128503338-iphone-8-64gb
2024-06-21,iPhone 8,64GB,"€ 135,00",Zeer nette iphone 8 met 100% batterijcapaciteit en 64 gb. Alles werkt zoals het hoort. Met het embleem van een wolf op de achterka,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128650561-iphone-8-64gb-100-batterij-met-wolf
2024-06-21,iPhone 8 Plus,256GB,"€ 100,00",Iphone 8 plus 256 gb moet wel een nieuw scherm op deze is gebarsten. Achterkant 2 barstjes.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128755321-iphone-8-plus
2024-06-21,iPhone 8,,"€ 75,00","Iphone 8, altijd gebruikt met screenprotector en hoesje waardoor er nagenoeg geen krasjes zichtbaar zijn. Telefoon heeft het altij",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128613482-iphone-8-wit
2024-06-21,iPhone 8,,"€ 100,00",Iphone 8,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128509914-iphone-8
2024-06-21,iPhone 8,,"€ 100,00",Op hele kleine krasjes rechtsonder (4e foto) na krasloos batterijconditie 81% niet het originele doosje,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128669308-iphone-8-uitstekende-staat
2024-06-21,iPhone 8,64GB,"€ 100,00",In prima staat. Altijd beschermd door hoesje en screenprotector.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128779347-iphone-8-64-gb
2024-06-21,iPhone 8 Plus,64GB,"€ 140,00",Iphone 8 plus in superstaat 64gb. Batterij capaciteit 88% doosje bij geen oplader met oordjes,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128733419-iphone-8-plus-64gb-superstaat
2024-06-21,iPhone 8 Plus,256GB,"€ 195,00",The phone is at very good state.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128644415-iphone-8-plus-256-gb
2024-06-21,iPhone 8 Plus,64GB,"€ 150,00",Iphone 8 plus 64gb batterijconditie 76% zonder doos en lader scherm heeft gebruikerssporen: kleine krasjes voor de rest werkt het,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128816591-iphone-8-plus-64gb
2024-06-21,iPhone 8,256GB,"€ 189,99",Apple iphone 8 256gb 98% specificaties: 4.7 Inch scherm 256gb opslag wifi / 4g simlockvrij ios 16 accu 98% werkt uitstekend verke,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128788662-apple-iphone-8-256gb-98
2024-06-21,iPhone 8,64GB,"€ 200,00",Te koop aangeboden set iphones de iphone 4 zgan werking onbekend geen lader de iphone 5s 32gb zgan krasvrij werkend de iphone 8 64,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128505390-4-iphones-voor-1-prijs-200-iphone-4-5s-8-8-collectors-items
2024-06-21,iPhone 8,64GB,"€ 149,00","Wilt u dit product direct in onze webshop bestellen en veilig met ideal afrekenen, klik dan op de link onderaan de advertentie!  ",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128730790-apple-iphone-8-64gb-zwart
2024-06-21,iPhone 8,128GB,"€ 349,98","Iphone 13 in goede staat, batterij capaciteit is 88% verder werkt de telefoon 100% wordt geleverd met het oplaad draadje ophalen e",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128617436-iphone-13-128gb-midnight
