Date,Model,Capacity,Price,Link,Description
2024-06-02,iPhone 8,128GB,"€ 400,00",Wegens overstap naar de iphone 15 max pro biedt ik deze iphone te koop aan.  Altijd in gebruik geweest met case en screenprotector,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121976335-iphone-13-max-pro-sierra-blue-128gb
2024-06-02,iPhone 8,64GB,"€ 100,00",Nette iphone 8 in kleur space gray. Ik verkoop deze omdat ik een nieuwe heb. Oordopjes zijn niet bijgevoegd vanuit hygiënisch oogp,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121969459-zwarte-iphone-8-64-gb
2024-06-02,iPhone 8,64GB,"€ 75,00",Te koop iphone 8 in zeer goede staat. Geen oplader of doos inbegrepen fabrieksinstellingen terug gezet,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121924759-iphone-8-64gb-zwart
2024-06-02,iPhone 8,64GB,"€ 85,00",Hierbij bied ik mijn nette iphone 8 te koop aan de iphone verkeert in prima staat en werkt naar behoren bieden vanaf €75 daar,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121913614-zeer-nette-iphone-8-64gb
2024-06-02,iPhone 8,64GB,"€ 100,00","Zeer nette wit met zilveren iphone 8. Veel plezier van gehad, maar nu tijd voor een nieuwe! Boekjes zitten erbij. Koptelefoon vanu",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121965777-witte-iphone-8-64gb
2024-06-02,iPhone 8,64GB,"€ 100,00",Iphone 8 64gb ziet er nog netjes uit is simlock vrij met kabel en voeding zit geen doos meer bij,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121978020-iphone-8
2024-06-02,iPhone 8,64GB,"€ 100,00",Geen enkele krassen en of beschadigingen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121890830-te-koop-iphone-8-met-64-gb
2024-06-02,iPhone 8,64GB,"€ 150,00",Iphone 8 64gb nieuw scherm nieuwe batterij nieuwe trilmotor zonder lader,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122010516-iphone-8-64gb
2024-06-02,iPhone 8,256GB,"€ 150,00",Nog nette apple iphone 8 geheugen: 256 gb kleur: space grey batterijpercentage: 85% inclusief 2 gratis hoesjes van ideal of sweden,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122093564-apple-iphone-8-256-gb
2024-06-02,iPhone 8,128GB,"€ 75,00",Goed werkende iphone 8 128 gb capaciteit 84%,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122134946-iphone-8-128gb
2024-06-02,iPhone 8,,"€ 99,00",Alles werkt prima originele,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122169802-iphone-8-bijna-nieuw
2024-06-02,iPhone 8,128GB,"€ 80,00","Lichte beschadiging aan achterzijde, voorzien van screenprotection aluminium rand is onbeschadigd",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121848707-iphone-8-128gb
2024-06-02,iPhone 8,64GB,"€ 85,00",Iphone 8 zwart 64gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121972041-iphone-8
2024-06-02,iPhone 8,,"€ 100,00",Aangeboden: zeer nette iphone 8 altijd zeer zuinig mee omgegaan compleet met orginele doos en oplader uiteraad hier in werking te,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121919375-iphone-8
2024-06-02,iPhone 8 Plus,,"€ 100,00",Iphone 8 plus geen beschadigingen. 2 Jaar geleden een nieuwe batterij in laten zetten door apple.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122046563-iphone-8-plus
2024-06-02,iPhone 8 Plus,,"€ 40,00",Iphone 8 plus met een gebroken en niet-werkend scherm. Deze telefoon zou gebruikt kunnen worden voor losse onderdelen. Mag weg van,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122142990-iphone-8-plus-defect
2024-06-02,iPhone 8,256GB,"€ 50,00",Iphone 8 256gb! Scherm gescheurd maar werkt helemaal top.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122012097-iphone-8-256gb
2024-06-02,iPhone 8,64GB,"€ 65,00","Zeer nette telefoon . Altijd hoesje en screenprotector op 24 feb 2023 voorzien van nieuwe originele batterij t.w.v. 59,— Ongebruik",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121928210-iphone-8-space-grey-64-gig-in-zeer-netjes-en-nieuwe-batterij
2024-06-02,iPhone 8,64GB,"€ 100,00",Kleur goud kleurig met oordopjes en oplaadsnoer,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122005286-iphone-8-geen-beschadigingen-64-gb
2024-06-02,iPhone 8 Plus,64GB,"€ 100,00",Ik verkoop dit omdat ik een iphone 12 heb gekocht en deze overbodig is geworden. Helaas geen oplader maar doet het verder goed. Op,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122133427-iphone-8-plus-64gb-rosegoud
2024-06-02,iPhone 8,64GB,"€ 75,00",Iphone 8 64gb klein krasje (geen barst!) Ophalen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122144921-iphone-8-64gb
2024-06-02,iPhone 8,64GB,"€ 110,00",Iphone 8 rosé 64 gb batterij nog 100% alles werkt nog prima en in zeer goede conditie met doos geen lader,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122038401-iphone-8-rose-64-gb-batterij-nog-100-zeer-goede-staat
2024-06-02,iPhone 8,64GB,"€ 85,00",Apple iphone 8 white edition top condition 64gb 97% battery status. Met lader en usb kabel €5 extra vaste prijs; €85,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121807315-apple-iphone-8-white-64gb-97-85
2024-06-02,iPhone 8 Plus,,"€ 100,00",Te koop in verband met andere iphone. Zonder lader!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122173051-iphone-8-plus
2024-06-02,iPhone 8,,"€ 35,00",Ik verkoop dit omdat ik zelf al een andere telefoon heb daarom dat die voor een goedkope prijs weg mag!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122156206-iphone-8-zitten-wel-paar-barsten-in-maar-werkt-nog-prima
2024-06-02,iPhone 8 Plus,64GB,"€ 120,00",Ik verkoop dit omdat ik een nieuwe heb. De conditie is goed. Geleverd met geen accessoires.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122086919-iphone-8-plus-64g-is-goed
2024-06-02,iPhone 8,,"€ 20,00",Apple iphone 4 wit 8gb incl. Originele verpakking en laadsnoertje vraagprijs €20,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122008788-apple-iphone-4-white-8gb
2024-06-02,iPhone 8 Plus,64GB,"€ 120,00","Iphone 8 plus,, 64gb, (battery = 80%) + een splinter nieuwe batterycase. Er zitten alleen 2 kleine krasjes op t scherm. Simlock vr",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122057183-apple-iphone-8-plus-64gb-met-een-nieuwe-batterycase
2024-06-02,iPhone 8 Plus,64GB,"€ 150,00",Mooie telefoon minimaal gebruikssporen op de zijkant scherm heeft een beschermend glas erop ik verkoop dit omdat ik een nieuwe tel,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122137888-iphone-8-plus-64gb
2024-06-02,iPhone 8 Plus,64GB,"€ 140,00",Iphone 8 plus van 64 gb compleet in de doos!!! Bieden vanaf 140 euro,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121980525-iphone-8-plus-black-64-gb-zeer-netjes
2024-06-02,iPhone 8 Plus,64GB,"€ 140,00",Hallo ik wil de telefoon verkopen iphone 8 plus van 64 gb zwart batterij capaciteit van de zwart 84% zie de foto’s vraag prijs voo,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121943089-iphone-8-plus-zwart-64-gb-top-staat
2024-06-02,iPhone 8 Plus,64GB,"€ 140,00",Iphone 8 plus 64gb with the box and charger with cable. Good condition.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122103342-iphone-8-plus-64gb
2024-06-02,iPhone 8 Plus,64GB,"€ 125,00",Perfecte staat zonder 1 kras of iets erop! Red product! Batterij 76% en gaat gewoon goed mee. Geen enkel beschadiging of iets,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122124690-iphone-8-plus-64-gb-red-product-nieuwstaat
2024-06-02,iPhone 8,64GB,"€ 160,00","Iphone 8+ 64 gb roze. Doosje aanwezig, kabel en oplader van samsung (zelf jaren lang gebruikt en werkte perfect). Met 2 extra hoes",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122119858-iphone-8-64-gb-roze
2024-06-02,iPhone 8 Plus,256GB,"€ 199,99","Iphone 8 plus 256gb 75% inclusief: doosje specificaties: 5,5 lcd touchscreen 256gb opslagcapaciteit 3gb ram werkgeheugen 12mp+12",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122058623-iphone-8-plus-256gb-75
2024-06-02,iPhone 8,64GB,"€ 429,00",Iphone 11 pro grijs 64gb (10886 a/a) kenmerk: 10886 klasse: als nieuw camera achter: 12.0 Mp camera voor: 12.0 Mp besturing: ios b,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2121963300-iphone-11-pro-grijs-64gb-10886-a-a
