Date,Model,Capacity,Price,Link,Description
2024-06-23,iPhone 12 Pro Max,256GB,"€ 550,00","Mooie blauwe krasvrije iphone 12 pro max 256gb, met professionele polar pro litechaser directors kit, een lenzen set voor de echte",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129281463-iphone-12-pro-max-met-polar-pro-litechaser-lenzen
2024-06-23,iPhone 12,64GB,"€ 275,00","Beste lezer, ik verkoop mijn iphone 12 blauw. Wegens dat ik een nieuwe krijg van mijn abonnement . De iphone 12 is 1 jaar oud. En",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129234687-iphone-12-64-gb-blauw
2024-06-23,iPhone 12,64GB,"€ 300,00",Mooie iphone 12. Kleine beschadigingen aan de zijkanten zoals te zien op de foto’s. Verder in perfecte staat. Batterijconditie 86%,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129319529-iphone-12-blauw-64gb
2024-06-23,iPhone 12,,"€ 275,00","Goedemiddag allemaal, hierbij een zwarte iphone 12 hij is 1000% kras en probleem vrij nooit kapot geweest en nooit iets vervangen",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129221659-iphone-12-black-volledig-kras-vrij
2024-06-23,iPhone 12,64GB,"€ 225,00","Te koop: een apple iphone 12 met 64gb opslagcapaciteit in de kleur zwart. Het toestel functioneert nog uitstekend, maar heeft enke",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129357407-iphone-12-zwart-64-gb
2024-06-23,iPhone 12 Pro,128GB,"€ 250,00",Iphone 12 pro 128gb (blauw),https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129485667-iphone-12-pro-128gb-blauw
2024-06-23,iPhone 12,64GB,"€ 275,00",Iphone 12 zwart 64gb goed werkende telefoon.de conditie is zeer goed,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129487745-iphone-12-zwart-64-gb
2024-06-23,iPhone 12,128GB,"€ 240,00",De telefoon is zo gloed als nieuw alles werkt tot zijn behoren.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129399987-apple-iphone-12-128gb-zwart
2024-06-23,iPhone 12 Pro,128GB,"€ 250,00",Iphone 12 pro 128 gb scherm bevat een beschermglas met geen krasjes de achterkant bevat meerdere krasjes de batterijconditie is 84,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129461116-iphone-12-pro-128-gb
2024-06-23,iPhone 12,,"€ 210,00",Telefoon werkt perfect. Batterij capaciteit 78%ik verkoop dit omdat ik een nieuwe wil,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129385216-iphone-12-paars
2024-06-23,iPhone 12,64GB,"€ 250,00","Iphone 12 , 64 gb, zwart/blauw. Ik verkoop dit omdat ik mijn abonnement mocht verlengen met een nieuw toestel. De conditie is gebr",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129513187-iphone-12-64-gb-zwart-blauw
2024-06-23,iPhone 12,64GB,"€ 250,00","Iphone 12 64gb goede staat, optisch dik in orde enkel glas van camera is stuk",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129202110-iphone-12-64gb-zwart
2024-06-23,iPhone 12,,"€ 250,00","Ik verkoop dit omdat ik heb nieuwe toestel gekregen. De batterij conditie is 80%, altijd in hoesje, scherm zonder krassen.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129281628-apple-iphone-12
2024-06-23,iPhone 12 Pro Max,128GB,"€ 250,00",Verkoop ik hier iphone 12 promax 128gb conditie is in nieuwe staat toestel voor reparatie of onderdelen goed lezen daar na reagere,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129284310-iphone-12-promax-128gb-goed-lezen-aub
2024-06-23,iPhone 12,128GB,"€ 270,00","Iphone 12 128gb op dit moment de goedkoopste iphone 12 128gb op marktplaats, dus wie het eerst komt, het eerst maalt. Zgan kleine",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129311483-iphone-12-128gb-zo-goed-als-nieuw
2024-06-23,iPhone 12 Mini,64GB,"€ 235,00",Apple iphone red 64 gb helemaal krasvrij en werkt uitstekend. Batterijcapaciteit 86% met de originele verpakking. Inclusief snoer.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129324167-iphone-12-mini-red-krasvrij-64-gb
