Date,Model,Capacity,Price,Link,Description
2024-06-12,iPhone 8 Plus,,"€ 100,00","Iphone 11, iphone 8 plus en iphone 7. 11 En 8 plus een jaar geleden nog gebruikt. Kopen voor onderdelen mag ook",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125583253-iphone-11-iphone-8-plus-en-iphone-7
2024-06-12,iPhone 8,64GB,"€ 60,00",Aangeboden een apple iphone. Ik doe hem weg omdat ik een nieuwer type heb overgenomen. De telefoon heeft een paar lichte krasjes o,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125627750-iphone-8-64gb-zwart
2024-06-12,iPhone 8,,"€ 80,00",Iphone 8 refurbished,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125597211-iphone-8-refurbished
2024-06-12,iPhone 8,,"€ 80,00",In zeer goede staat schattige iphone 8 mini. Geen krasjes en werkt erg goed !,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125757148-iphone-8-mini
2024-06-12,iPhone 8,,"€ 120,00",Zeer nette iphone 8 te koop. Zonder gebruikssporen of beschadigingen. Batterij percentage 100 procent. Iphone is in zeer goede sta,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125664972-zeer-nette-iphone-8-batterij-percentage-100-procent
2024-06-12,iPhone 8 Plus,,"€ 130,00",Iphone 8 plus. Goede staat,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125665694-iphone-8-plus-goede-staat
2024-06-12,iPhone 8,64GB,"€ 110,00",Reserve toestel ik n de verkoop ophalen in berkel en rodenrijs of voorburg,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125689678-iphone-8-gold-64gb
2024-06-12,iPhone 8,64GB,"€ 75,00","Ik verkoop deze iphone 8 omdat ik deze niet meer nodig heb.  Batterij conditie is nog 85%, kleine gebruiksporen. Ophalen in amster",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125741562-iphone-8-64gb-batterij-gezondheid-85
2024-06-12,iPhone 8,64GB,"€ 80,00","5 x iphone 8 64gb aangeboden! Vanwege aanschaf van andere werktelefoons mogen deze iphones weg. 5 Stuks voor €80,- per stuk.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125535159-iphone-8-64gb
2024-06-12,iPhone 8,64GB,"€ 100,00","Iphone 8 64gb de conditie is goed, alles werkt en zonder beschadigingen. Wordt geleverd met 2 hoesjes",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125503345-iphone-8-64gb
2024-06-12,iPhone 8,64GB,"€ 50,00",Werkend maar zoals je kan zien is de achterkant helaas stuk dus voor iemand die dat kan fixen verkoop ivm opruiming telefoons verz,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125596463-iphone-8-64gb
2024-06-12,iPhone 8 Plus,,"€ 95,00",Gebarsten scherm verder geen schade. Werkt prima,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125691227-apple-iphone-8-plus
2024-06-12,iPhone 8,,"€ 120,00",Iphone 8 in uitstekende conditie met black leather mous hoes t.w.v 40 euro en een hybrid glass screen protector t.w.v 15 euro die,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125430750-iphone-8
2024-06-12,iPhone 8,64GB,"€ 100,00",Te koop; - iphone 8 goud 64gb keurige en onbeschadigde telefoon. Altijd gebruikt in een hoesje en met een panzerglas screen protec,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125524115-iphone-8-64gb-goud-onbeschadigd-perfecte-staat-verz-mog
2024-06-12,iPhone 8 Plus,,"€ 90,00",Telefoon is geheel onbeschadigd werk prima,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125591258-apple-iphone-8-plus
2024-06-12,iPhone 8 Plus,64GB,"€ 125,00",Nog zeer goed werkende iphone 8 plus space grey kan makkelijk nog enkele jaartjes mee hoesje gratis erbij geen oplader erbij ( ver,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125641621-iphone-8-plus-64gb
2024-06-12,iPhone 8 Plus,64GB,"€ 120,00","Te koop een iphone 8plus 64gb space gray: - toestel, - origine doosje, - oplader, - usb kabel, - headset(ongebruikt), - simkaart v",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125433096-te-koop-iphone-8plus-space-gray-64gb
2024-06-12,iPhone 8,64GB,"€ 125,00",Aangboden altijd als nood telefoon gebruikt  zeer mooie iphone 8 zonder schade deuken of krassen als nieuw !!! Batterij heeft 97% ,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125569755-nieuwstraat-iphone-8-64-gb-krasvrij-batt-97
2024-06-12,iPhone 8,64GB,"€ 125,00",Rose iphone 8-64 gb simlock vrij alle accessoires zijn aanwezig ziet er netjes uit kras vrij scherm doos een oplader aanwezig ving,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125732269-rose-iphone-8-64-gb-in-nieuwstaat
2024-06-12,iPhone 8,64GB,"€ 125,00",Werkt goed,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125540836-iphone-8-64gb-batterij-capaciteit-100-met-lader
2024-06-12,iPhone 8,,"€ 20,00",Lcd iphone 8. Nieuw uit hong kong.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125620517-lcd-iphone-8
2024-06-12,iPhone 8,,"€ 25,00",Iphone 5c 8gb wit. Heeft gebruikssporen maar werkt nog prima. Geen beschadigingen etc. Er zit nog een berschermende folie over het,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125691577-iphone-5c-8gb-wit
2024-06-12,iPhone 8 Plus,,"€ 150,00",Iphone 8 plus met doos compleet inclusief aankoopbon,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125670983-iphone-8-plus-met-doos-en-aankoopbon-max
2024-06-12,iPhone 8 Plus,64GB,"€ 169,99",Wilt u dit product bestellen? Klik dan op de link naar onze webshop onderaan de tekst! Makkelijk betalen met ideal voor 16:00 bes,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125669185-iphone-8-plus-64gb-space-gray-in-nette-staat-accu-83
2024-06-12,iPhone 8,,"€ 400,00","3 gebruikte iphone’s, in nette staat, nieuwe oordopjes, 2 opladers",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125712270-iphone-11pro-iphone-8-en-iphone-5-setprijs
