Date,Model,Capacity,Price,Link,Description
2024-06-16,iPhone 11,64GB,"€ 220,00","Te koop: iphone 11 64gb in zwart/grijs ben je op zoek naar een smartphone die je niet in de steek laat? Deze iphone 11, met 64gb o",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127109170-iphone-11-64gb-in-zwart-grijs-uitstekende-staat
2024-06-16,iPhone 11,64GB,"€ 150,00","Iphone 11 te koop, vanwege nieuwe koop iphone. Zijkant hebben wat gebruikers sporen, voor en achterkant als nieuw.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126893840-mooie-iphone-11-64gb
2024-06-16,iPhone 11,64GB,"€ 175,00","Zo goed als nieuwe iphone 11. Te koop ivm overstap naar nieuwe iphone. Batterijpercentage 87%. Verkeerd in absolute nieuwstaat, ge",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126864645-iphone-11-64gb
2024-06-16,iPhone 11,64GB,"€ 180,00",Ik verkoop deze mobiel voor mijn oude moeder. Zij gebruikte hem voornamelijk voor te appen en de krant te lezen. Batterijconditie,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126912621-iphone-11-64gb-paars-lila
2024-06-16,iPhone 11,,"€ 180,00",Wegens een nieuwe telefoon verkoop ik mijn iphone de telefoon werkt naar behoren gaat alleen om de telefoon,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126921794-iphone-11
2024-06-16,iPhone 11,,"€ 160,00","Zonder beschadigingen, wel één keer de batterij laten vervangen",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126979376-iphone-11
2024-06-16,iPhone 11,64GB,"€ 145,00",Goed werkende iphone 11 de conditie is goed. Wordt geleverd met hoesje. Ophalen het liefst.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127122286-iphone-11-64gb
2024-06-16,iPhone 11,64GB,"€ 200,00",Wegens overstap naar een nieuwe telefoon mag deze door naar de volgende. Betreft het model met een lightning lader. Batterijpercen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127122746-iphone-11-64gb-zwart
2024-06-16,iPhone 11 Pro Max,64GB,"€ 175,00",Momenteel beschikbare modellen: iphone xr | space grey | 64gb | 100% bat. | €195 inclusief het doosje en hoesje! Iphone xs |,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127160138-iphone-xr-xs-xs-max-11-en-11-pro-max-in-nieuwstaat
2024-06-16,iPhone 11,,"€ 190,00",Iphone 11 zwart 79% batterijpercentage met screenprotector scherm en achterkant krasvrij,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126993814-iphone-11-zwart-79
2024-06-16,iPhone 11,,"€ 175,00",Te koop: iphone 11 in wit. Het toestel verkeert in goede staat met een klein krasje rechtsonder op het scherm. Alle functies werke,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127188767-iphone-11-wit
2024-06-16,iPhone 11,128GB,"€ 175,00","Iphone 11 in goed werkende staat. De behuizing heeft wat schade ondanks dat deze altijd in een hoesje gezeten heeft, zie foto’s. H",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126974644-iphone-11-128gb-wit
2024-06-16,iPhone 11,64GB,"€ 200,00","Witte iphone 11, 64 gb. Scherm onbeschadigd. Inclusief 2 burga hoesjes. Exclusief oplader.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126946035-iphone-11
2024-06-16,iPhone 11,,"€ 120,00","Deukjes aan de zijkanten en rondom de camera, camera lens zelf nog in orde. Krassen op het scherm maar geen deuken of scheuren. Hi",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127131088-iphone-11
2024-06-16,iPhone 11,128GB,"€ 199,00","Iphone 11 (incl. Hoesje, lader en lightning kabel) capaciteit:128gb breedte: 75,7 mm hoogte: 150,9 mm diepte: 8,3 mm gewicht: 194",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127174640-iphone-11
2024-06-16,iPhone 11,64GB,"€ 199,99","- iphone 11, 64 gb, zwart - zo goed als nieuw en werkt helemaal prima  - batterij 74%, maar hij houdt het makkelijk een hele dag v",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126894638-iphone-11-64-gb-zwart
2024-06-16,iPhone 11 Pro,64GB,"€ 210,00",Apple iphone 11 pro 64gb black - volledig origineel - batconditie 87% - inclusief drie hoesjes - doosje - originele lightning kabe,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126904816-iphone-11-pro-64gb
2024-06-16,iPhone 11,64GB,"€ 160,00","Iphone 11 met 64gb geheugen. Geen origineel nieuw scherm en accu,face id doet het niet. Verder werkt de telefoon prima camera,micr",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126916964-iphone-11-black-64gb-met-hoesje
2024-06-16,iPhone 11,64GB,"€ 225,00","Apple iphone 64gb te koop, ivm aanschaf nieuwe telefoon. Voorkant scherm geen krakken, weinig krassen. Op de achterkant een kleine",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127151666-apple-iphone-11-64gb
2024-06-16,iPhone 11,64GB,"€ 150,00",Iphone 11 64gb zwart net nieuw scherm en batterij erin gedaan. Alleen de behuizing heeft wat schade maar voor de rest zo goed als,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127054637-iphone-11-64gb-zwart
2024-06-16,iPhone 11,,"€ 230,00",Hier bij verkoop ik deze iphone 11. Wil een andere kopen ziet er nog goed uit alleen de battery is aan vervanging toe. Verder is d,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126826169-iphone-11
2024-06-16,iPhone 11,64GB,"€ 200,00","Nette iphone 11 64gb in goede staat, lichte gebruikssporen",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126829473-iphone-11
2024-06-16,iPhone 11,64GB,"€ 200,00","De conditie is goed in nette staat, geen schade , geen krasjes. In originele doos met oplader en screenprotector op scherm. Geen o",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126975049-iphone-11-64gb-zwart
2024-06-16,iPhone 11,,"€ 200,00",Iphone 11 batterij 78% hier en daar wat gebruiks krasjes aan de zijkanten maar een zeer goeie en nette telefoon. Altijd netjes mee,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127005535-iphone-11
2024-06-16,iPhone 11,,"€ 150,00",Iphone herkent de simkaart niet meer,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126959976-iphone-11-sim-wordt-niet-meer-herkent
2024-06-16,iPhone 11,64GB,"€ 125,00","Bij deze bied ik mijn rode iphone 11 64gb te koop aan, omdat ik mijn iphone heb laten vallen en een andere gekocht heb. De iphone",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126866763-iphone-11-64gb
2024-06-16,iPhone 11 Pro Max,64GB,"€ 200,00",Apple iphone 11 pro max goud met doos geen oplader werkt nog goed klein krasje onderaan scherm,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127019273-apple-iphone-11-pro-max-64-gb-goud
2024-06-16,iPhone 11,128GB,"€ 250,00","Apple iphone 11, 128gb",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126968104-apple-iphone-11-128gb
2024-06-16,iPhone 11,,"€ 200,00",Goede iphone 11 met oordopjes die nieuw zijn lader en doos inbegrepen + 83 % batterij alles werkt príma,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126899595-iphone-11-met-nieuwe-oordopjes
2024-06-16,iPhone 11 Pro,64GB,"€ 190,00",Iphone 11 pro gold variant | heeft altijd een schermglas opgezeten en een hoesje eromheen. Het scherm en achterkant hebben geen ba,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126902858-iphone-11-pro-gold-variant-64gb-capaciteit
2024-06-16,iPhone 11,128GB,"€ 250,00",Te koop: apple iphone 11 128 gb opslag rood simlockvrij batterijcapaciteit 80 % voor en achterkant onbeschadigd. Wat kleine besch,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127157195-iphone-11-rood-128-gb-in-zeer-goede-staat
2024-06-16,iPhone 11 Pro,64GB,"€ 225,00",Deze iphone is tot vorige week gebruikt. Inmiddels een nieuwe aangezien ik toe was aan meer geheugen . Deze telefoon functioneert,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126918048-iphone-11-pro-64gb-geen-gebruikssporen-functioneert-perfect
2024-06-16,iPhone 11 Pro Max,64GB,"€ 220,00",Iphone 11 pro max 64 gb gaat weg ivm met aankoop van andere telefoon. Nog in hele goede staat.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126998297-iphone-11-pro-max-64-gb
2024-06-16,iPhone 11 Pro,64GB,"€ 179,99",Toestel is volledig origineel batterij is eventueel wel aan vervanging toe na 10 jaar verkoopervaring heb ik vastgesteld dat er t,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126895479-iphone-11-pro-64gb-goud-73-accu
2024-06-16,iPhone 11,64GB,"€ 210,00",Iphone 11 met oordopjes en doos in goede staat 64 gb batterij 82%,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127020719-iphone-11-met-oordopjes
2024-06-16,iPhone 11,128GB,"€ 200,00",Iphone werkt uitstekend en ziet er nog als nieuw uit! Ik heb er geen kuren mee ervaren en ben zeer tevreden geweest met deze telef,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127145717-iphone-11-128-gb-als-nieuw
