Date,Model,Capacity,Price,Link,Description
2024-06-06,iPhone Xr,128GB,"€ 150,00",Batterijcapaciteit 80% werkt verder prima.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123547916-iphone-xr-128gb-black
2024-06-06,iPhone Xr,64GB,"€ 180,00",Apple iphone xr in zeer goede staat. Beeldscherm is vrij van krassen (altijd met screenprotector gebruikt). Geheugen: 64gb batteri,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123419701-apple-iphone-xr-64gb
2024-06-06,iPhone Xr,64GB,"€ 125,00",Iphone xr te koop. Werkt naar behoren. Geen barsten in het scherm en nauwelijks krasjes. Altijd hoesje om gehad. Batterijcapacitei,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123407717-iphone-xr-zwart-64gb
2024-06-06,iPhone Xr,128GB,"€ 200,00","Helemaal gaaf, geen krasjes, batterij conditie, 85% heeft altijd in een hoesjes gezeten en is super netjes mee om gegaan.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123458694-iphone-xr-128-gb-blauw
2024-06-06,iPhone Xr,64GB,"€ 120,00",Iphone xr 64gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123487334-iphone-xr-64gb
2024-06-06,iPhone Xr,,"€ 50,00",Iphone xr voor onderdelen? Alleen ophalen!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123368408-iphone-xr-met-icloudlock-en-kapot-achterglas
2024-06-06,iPhone Xr,64GB,"€ 150,00",Hierbij verkoop ik mijn iphone xr 64gb. De telefoon doet het nog goed maar is overbodig geworden ivm een nieuwe telefoon. De batte,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123469872-iphone-xr-64gb
2024-06-06,iPhone Xr,64GB,"€ 220,00",Helemaal netjes nog deze iphone geen barsten in de voor of achterkant alleen klein gebruikers butsje onderaan de telefoon zie foto,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123473536-iphone-xr-zwart-64-gb
2024-06-06,iPhone Xr,,"€ 75,00","Iphone xr, beschadigde achterkant, 80% batterij conditie.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123307142-iphone-xr-beschadiging-achterkant
2024-06-06,iPhone Xr,,"€ 185,00",Iphone xr goed werkende telefoon,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123310931-iphone-xr
2024-06-06,iPhone Xr,64GB,"€ 180,00",Apple iphone xr in zeer goede staat. Beeldscherm is vrij van krassen (altijd met screenprotector gebruikt). Geheugen: 64 gb batter,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123418989-apple-iphone-xr-64gb
2024-06-06,iPhone Xr,64GB,"€ 150,00",Iphone xr 64gb vanwege aanschaf andere telefoon verkoop ik mijn iphone xr 64gb. De achterkant is beschadigd zie foto graag bieden,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123418263-iphone-xr-64gb
2024-06-06,iPhone Xr,256GB,"€ 700,00","Deze telefoon heeft 256 gb en is niet vaak gebruikt. De telefoon is voor 700,00 te koop, en het hoesje voor het zelfde bedrag. Als",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123429796-iphone-xr-256-gb-actiee-met-hoesjeee
