Date,Model,Capacity,Price,Link,Description
2024-06-06,iPhone 15 Pro,128GB,"€ 900,00",Bewijs van aankoop inbregrepen (factuur) langskomen en ophalen aub lager dan €900 ga ik niet,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123412193-apple-iphone-15-pro-128gb-naturel-titanium-sealed
2024-06-06,iPhone 15 Plus,128GB,"€ 720,00",Apple iphone 15 plus toestel is zo goed als nieuw 128gb compleet in doos geen enkele krasjes,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123396160-apple-iphone-15-plus-blue-128gb-compleet-in-doos-metgarantie
2024-06-06,iPhone 15,,"€ 700,00",Apple iphone 15,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123463992-apple-iphone-15
2024-06-06,iPhone 15 Pro,128GB,"€ 750,00","Compleet in doos en laadkabel. Zit een screenprotector op, toestel is volledig kras en schadevrij, op 1 schrammetje na zie laatste",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123275867-iphone-15-pro-natural-titanium-128gb
2024-06-06,iPhone 15,128GB,"€ 700,00",Iphone 15 5g - 128 gb blauw new and sealed,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123513751-iphone-15-5g-128-gb-blauw
2024-06-06,iPhone 15,128GB,"€ 650,00","Te koop aangeboden: apple iphone 15 . 128Gb opslag. Praktisch nieuw toestel, heel even gebruikt . Inclusief : boekjes , hoesje, do",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123311506-apple-iphone-15-128gb-inruil-mogelijk
2024-06-06,iPhone 15 Pro,128GB,"€ 800,00",Heb al een i phone dit was een cadeau vandaar dat ik deze weg doe batterij conditie 100 %,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123431799-iphone-15-pro-128-gb
2024-06-06,iPhone 15,,"€ 750,00",Nieuwe iphone 15 geseald in doos  bon aanwezig,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123422811-iphone-15-nieuw-in-doos
2024-06-06,iPhone 15,256GB,"€ 750,00","Nieuw in doos ongeopend, iphone 15 256gb zwart ik ben voor de samsung s24 ultra gegaan. En deze kreeg ik kadoo. Dus de iphone mag",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123513521-iphone-15-256gb
2024-06-06,iPhone 15,128GB,"€ 675,00","Voor mji te groot, dus ik ga weer terug naar mijn 13 mini. Iets minder dan 4 maanden oud.  Batterij is 100% en heeft 77 cycles. Al",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123426571-iphone-15-128gb
