Date,Model,Capacity,Price,Link,Description
2024-06-16,iPhone 15 Pro,128GB,"€ 595,00","Apple iphone 15 5g 128 gb blue, nauwelijks gebruikt. Originele bon beschikbaar (aangekocht 29 november 2023) dus nog 17 maanden ga",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127176747-apple-iphone-15-128gb-met-clear-case-en-screenprotector
2024-06-16,iPhone 15 Plus,256GB,"€ 899,99",Iphone 15 plus 256gb geseald!! Nieuw,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127063680-iphone-15-plus-256gb-geseald-nieuw
2024-06-16,iPhone 15,128GB,"€ 700,00","De conditie is helemaal nieuw, ik verkoop dit omdat omdat ik het geld nodig heb",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127082726-iphone-15-128gb
2024-06-16,iPhone 15,128GB,"€ 750,00",Te koop (nieuw) iphone 15 128gb - black incl. Laadkabel en laadblok (usb c naar usb c) enkel serieuze biedingen. Nieuwprijs is 899,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126951547-iphone-15-128-gb
2024-06-16,iPhone 15,,"€ 700,00","- ✅camera, microfoon, faceid & geluid werken - ✅voor en achterscherm kras vrij - ✅originele doosje + lader + factuur -🔋batter",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127051734-iphone-15-roze-met-aankoopbewijs
2024-06-16,iPhone 15 Pro Max,,"€ 800,00",Gloed nieuwe iphone 15 pro max 1/2 keer gebruikt met een mooie bod is die van jou;),https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126908049-iphone-15-pro-max
2024-06-16,iPhone 15,128GB,"€ 850,00",Iphone 15 128gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126827007-iphone-15-128gb
2024-06-16,iPhone 15 Pro Max,,"€ 899,00",De conditie is gloed nieuw,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127114049-iphone-15-pro-max-1tb
2024-06-16,iPhone 15 Pro,128GB,"€ 900,00",Iphone 15 pro 128gb zwart geseald!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127103908-iphone-15-pro-128gb-zwart-geseald
2024-06-16,iPhone 15,,"€ 400,00",De conditie is goed. Heeft wel wat gebruikerssporen rondom en een mini barstje bovenin. Ervaar je geen hinder van. Zie foto’s. Is,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127041708-iphone-15-rose
2024-06-16,iPhone 15 Pro,128GB,"€ 900,00","Praktisch nieuwe iphone 15 pro 128gb black titanium. Nog geen 2 weken oud. Gekocht bij odido, wil toch liever de 15 pro max. Geen",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126842762-praktisch-nieuwe-iphone-15-pro-128gb
2024-06-16,iPhone 15 Pro,128GB,"€ 900,00",Iphone 15 pro 128 gb geseald kleur wit factuur aanwezig,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127087039-iphone-15-pro-128-gb-geseald
2024-06-16,iPhone 15 Plus,,"€ 800,00","Een nieuwe iphone 15 plus in doos, nog helemaal niet geopend. Ik mocht een nieuwe telefoon uitkiezen omdat mijn abonnement verlege",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127126860-iphone-15-plus-zwart-niet-geopend-met-bon
