Date,Model,Capacity,Price,Link,Description
2024-06-25,iPhone 13 Pro,256GB,"€ 550,00",Goed werkende iphone 13 pro met 256gb in de kleur sierra blue. De telefoon is ongeveer 2 jaar oud en heeft geen gebreken. Zowel sc,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130067936-iphone-13-pro-256gb
2024-06-25,iPhone 13,128GB,"€ 400,00",In verband met de aanschaf van een nieuwe iphone is deze overbodig geworden. Is verder in goede werkende staat. Heeft wel enige ge,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129947932-iphone-13-128gb-groen
2024-06-25,iPhone 13 Pro Max,128GB,"€ 499,00","Te koop: de telefoon is in perfecte staat! Alles is origineel, er is nooit iets vervangen. Geen beschadigingen, krasjes en dergeli",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130085132-iphone-13-pro-max-sierra-blue-128gb
2024-06-25,iPhone 13,128GB,"€ 360,00",Iphone 13 in zeer goede staat!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129864901-iphone-13-krasvrij-128-gb-blauw
2024-06-25,iPhone 13,256GB,"€ 420,00","Iphone 13 groen 256gb batterijconditie: 85% doos zit er ook bij de telefoon werkt nog uitstekend, heeft wat gebruikerssporen op de",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129934675-iphone-13-groen-256gb
2024-06-25,iPhone 13,128GB,"€ 385,00","Deze iphone mag weg omdat ik een ander toestel heb aangeschaft. Altijd met hoesje & screenprotector gebruikt, verkeerd in uits",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130067168-apple-iphone-13-128gb-zwart
2024-06-25,iPhone 13 Pro,256GB,"€ 350,00",Als nieuw geen kras of schade prijs is vast enkel ophalen let op camera werkt niet soms wel soms niet na update!!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130054617-iphone-13-pro-256-grey-90-accu-camera-werkt-niet
2024-06-25,iPhone 13 Pro,,"€ 410,00",Iphone 13 pro voorkant een kleine barst ( verhindert gebruik van de telefoon niet! ) En achterkant kleine barst! De telefoonprrcen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130075513-iphone-13-pro
2024-06-25,iPhone 13,128GB,"€ 300,00","Het toestel heeft een aantal gebruikerssporen, zie ook de foto’s. Er zit een kleine schuur/kras in het scherm. Dit is bijna niet z",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130089858-iphone-13-wit-128-gb
2024-06-25,iPhone 13 Pro,128GB,"€ 450,00","Zeer nette iphone 13pro 128 gb nieuw gekocht in oktober 2022. Mag weg ivm aanschaf van een nieuwer model. Geen krassen, schades et",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129880273-iphone-13pro-128gb
