Date,Model,Capacity,Price,Link,Description
2024-06-20,iPhone Xs Max,64GB,"€ 125,00",Te koop apple iphone xs max  64gb  zo goed als nieuw simlockvrij camera bluetooth mp3 video wifi internet navigate google youtybe ,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128244828-apple-iphone-xs-max-64gb
2024-06-20,iPhone Xs Max,64GB,"€ 150,00","Nog een mooie iphone xsmax te koop met 64gb. Batterij capaciteit is nog 90%. Zitten geen krasjes of beschadigingen op, nog super m",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128477886-iphone-xs-max-64gb
2024-06-20,iPhone Xs Max,64GB,"€ 150,00",Iphone xs max 64gb space gray batterijpercentage 84% toestel is 100% krasvrij telefoon is zo goed als nieuw. Sp connect hoesje kri,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128304662-iphone-xs-max-64gb-100-krasvrij
2024-06-20,iPhone Xs Max,64GB,"€ 100,00",Iphone xs max 64gb in spacegrey. Scherm helaas gebarsten en gaat niet meer aan dus moet vervangen worden (ongeveer €60). Batt,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128417793-iphone-xs-max-64gb-spacegrey-scherm-defect
2024-06-20,iPhone Xs Max,64GB,"€ 250,00","Deze bijzondere iphone nog zeer in goede staat, vanaf 1e dag een hoesje + screenprotector op gezeten. Deze iphone heeft een opslag",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128417657-iphone-xs-max-64-gb
2024-06-20,iPhone Xs Max,256GB,"€ 219,00",Hallo ik ga deze mooie en nette iphone xs max van 256 gb verkopen zeer mooie en nette staat alles is werkend te zien behalve de fa,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128321556-iphone-xs-max-zwart-256-gb-256-gb
2024-06-20,iPhone Xs Max,256GB,"€ 125,00",Werkend batterij 80% achterkant gebroken met back cover geen hinder,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128456582-iphone-xs-max-256gb
2024-06-20,iPhone Xs Max,64GB,"€ 325,00","Ligt al lang in de kast vanwege een nieuwe telefoon, niks mis mee dus kan gewoon nog door naar een ander. Geen beschadiging. Batte",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128400197-iphone-xs-max-gold-64-gb-nog-heel-mooi
2024-06-20,iPhone Xs Max,,"€ 140,00",Goedwerkende nette iphone xs max inc lader en 2 hoesjes 🔋 nog prima en face id werkt ook prima wordt niet meer gereserveerd! Weg,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128390784-iphone-xs-max
2024-06-20,iPhone Xs Max,512GB,"€ 200,00",Te koop aangeboden: iphone xs max 512gb zwart in goede conditie iphone xs max space grey 512gb nette staat alles werkt batterij go,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128313828-iphone-xs-max-512gb-zwart-in-goede-conditie
2024-06-20,iPhone Xs Max,,"€ 200,00",Iphone xs max (beschadigd scherm),https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128262354-iphone-xs-max-beschadigd-scherm
