Date,Model,Capacity,Price,Link,Description
2024-06-25,iPhone 12,64GB,"€ 280,00",Iphone 12 64gb zwart. Gebruik schade zichtbaar maar verder in goede staat. Originele oplaadkabel aanwezig reageer alleen op serieu,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129976370-iphone-12
2024-06-25,iPhone 12 Pro,128GB,"€ 400,00",Iphone 12 pro 128gb spacegrijs ivm aanschaf nieuwe telefoon is deze overbodig geworden. Batterijconditie: 85% toestel heeft enkel,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130006600-iphone-12-pro-128gb-spacegrijs
2024-06-25,iPhone 12,64GB,"€ 250,00","Iphone 12 64gb met een nieuw scherm en nieuwe accu bij de telefoonshop erin laten zetten, alleen zijn geen eigen apple producten d",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130075730-iphone-12-64gb
2024-06-25,iPhone 12,,"€ 200,00",M’n vorige telefoon is overbodig voor en achter is die wel beschadigd,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130090622-iphone-12
2024-06-25,iPhone 12 Pro,128GB,"€ 200,00",Iphone 12 pro 128 gb compleet met bon.batterij is 77% heeft onderhoud nodig.camera is vervangt zit krassen op het scherm.moet opge,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130101059-iphone-12-pro-128-gb-compleet-met-bon-batterij-is-77
2024-06-25,iPhone 12,64GB,"€ 250,00","Iphone 12 wit 64 gb ik verkoop dit omdat ik een nieuwe iphone heb gekocht de conditie is goed, kleine gebruik sporen. Wordt geleve",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129915369-iphone-12-wit-64-gb
2024-06-25,iPhone 12,128GB,"€ 200,00",Te koop aangeboden: apple iphone 12. 128Gb opslagruimte. Helaas werkt de face id functie niet. Voor de rest werkt het toestel supe,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129877327-apple-iphone-12-128gb-zonder-face-id
2024-06-25,iPhone 12,64GB,"€ 240,00",Iphone 12 64 gb batterijpercentage 85% rechtsboven en rechtsonder klein schrammetje voor de rest in top staat,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129937271-iphone-12-64-gb
2024-06-25,iPhone 12,128GB,"€ 249,00",Alles werkt naar behoren alleen de telefoon is gebruikt. Nagekeken en gereinigd en er zit een nieuwe batterij in. Zit 12 maanden g,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129947569-iphone-12-128gb
2024-06-25,iPhone 12,128GB,"€ 250,00",Used iphone 12 128gb for sale. Used for two years. In good condition. Has some scratches on the sides. Everything working fine. Pi,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130028954-iphone-12-128gb
