Date,Model,Capacity,Price,Link,Description
2024-06-05,iPhone Xs Max,256GB,"€ 190,00",Te koop aangeboden mijn prachtige iphone xs max met 256gb . Hij is simlock vrij en werkt naar behoren.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122982533-prachtig-iphone-xs-max-256gb
2024-06-05,iPhone Xs Max,,"€ 200,00",Mooie iphone xs max in nieuwstaat. Dus geen beschadigingen of reparaties aan gedaan. Altijd gebruikt met beschermhoesje en schermp,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123041616-in-nieuwstraat-iphone-xs-max
2024-06-05,iPhone Xs Max,256GB,"€ 125,00",Iphone xs max 256gb beschadigd aan de achterkant en barstje in voorkant,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122976050-iphone-xs-max-256gb-beschadigd-aan-de-achterkant
2024-06-05,iPhone Xs Max,64GB,"€ 200,00","Ivm aanschaf nieuwe telefoon, hierbij aangeboden een iphone xs max! Nog in erg goede staat/conditie. Altijd een beschermplaatje en",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123245771-iphone-xs-max-space-gray-64gb
2024-06-05,iPhone Xs Max,,"€ 195,00","Hierbij verkoop ik mijn xs max in zeer nette staat.  Geen krasjes, geen gebreken. Alles werkt naar behoren en er is zeer netjes me",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123140236-iphone-xs-max
2024-06-05,iPhone Xs Max,256GB,"€ 200,00",Ik verkoop mijn iphone xs max die nog in goede staat is. Deze komt inclusief 6 hoesjes en een beschermglaasje. De batterijconditie,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122958284-iphone-xs-max-256-gb-incl-6-hoesjes-beschermglas
2024-06-05,iPhone Xs Max,256GB,"€ 150,00",Iphone xs max 256g roes gold the phone works great with the original box and mouse screen protector. Face id doesn’t work battery,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123155909-iphone-xs-max-256g-roes-gold
2024-06-05,iPhone Xs Max,256GB,"€ 200,00",Te koop iphone xs max nieuwstaat met doosje 256gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122967264-te-koop-iphone-xs-max-nieuwstaat-91-conditie-batery
