Date,Model,Capacity,Price,Link,Description
2024-06-12,iPhone 15,128GB,"€ 699,00",De verpakking is nog niet geopend. Hij is dus echt helemaal nieuw. Alleen bieden via marktplaats. Ik ga niet in op berichten per m,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125751569-nieuwe-iphone-15-zwart-gesealed-128gb
2024-06-12,iPhone 15 Plus,128GB,"€ 800,00","Toestel is in nieuwstaat! Van minuut 1 screen en hoesje op gedaan dus volledig krasvrij. Telefoon is amper 3 dagen oud, mag weg we",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125706090-iphone-15-plus-128gb-nieuwstaat
2024-06-12,iPhone 15 Pro,,"€ 600,00",Iphone 15 pro was iphone xs met lader zonder doos voor meer info stuur gerust een berichtje,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125665030-iphone-15-pro
2024-06-12,iPhone 15 Plus,,"€ 760,00",Ik verkoop dit omdat mijn vriendin toch liever een android heeft. De telefoon is een paar maandjes gebruikt met hoesje en screen-p,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125472298-iphone-15-plus
2024-06-12,iPhone 15,128GB,"€ 675,00","Te koop: een spiksplinternieuwe iphone 15 in de kleur roze. Het toestel is 100% nieuw, niet geactiveerd en dus niet gebruikt. Pas",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125691264-splinternieuwe-iphone-15-128-gb-roze-ongeactiveerd
2024-06-12,iPhone 15,128GB,"€ 799,00",Minimale gebruikerssporen aanwezig aan de behuizing van het toestel verder is alles helemaal schadevrij. Accu 90%.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125715166-iphone-15-titanium-black-128-gb
2024-06-12,iPhone 15,128GB,"€ 700,00",Iphone 15 128gb - 4 maanden oud. Ik verkoop dit vanwege een snapchat ban. Gebruik je geen snapchat dan is deze telefoon perfect! (,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125729329-iphone-15-128gb-zwart-in-zeer-goed-staat
2024-06-12,iPhone 15 Pro,128GB,"€ 930,00",Iphone 15 pro 128 gb geseald kleur natural titanium geseald en doos bon aanwezig,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125513620-iphone-15-pro-128-gb-geseald
2024-06-12,iPhone 15 Pro,128GB,"€ 950,00","Zeer nette iphone 15 pro  kort gebruikt maar vindt het toch niks. Ga weer terug naar de iphone 12, vandaar te koop aangeboden. 128",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125513600-iphone-15-pro-128gb
2024-06-12,iPhone 15,128GB,"€ 900,00",Iphone 15 geseald graag ophalen !,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125581785-iphone-15-128-gb-black-geseald
2024-06-12,iPhone 15 Pro,128GB,"€ 900,00",Nieuw gesailt in doos morgen op te halen ! Zwolle,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125472424-apple-iphone-15-pro-128-gb-nieuw-gesailt-in-doos
2024-06-12,iPhone 15 Pro,,"€ 925,00",Helemaal nieuw met bon. ,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125533567-nieuwe-gesealde-iphone-15-pro-titanium
2024-06-12,iPhone 15 Pro Max,,"€ 900,00",Iphone 15 pro max,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125434179-iphone-15-pro-max
2024-06-12,iPhone 15,64GB,"€ 795,00","Ik verkoop dit omdat ik wil gaan overstappen naar een 15 pro , want vind dit niet zo groot genoeg hij is gloed nieuw en nog niet g",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125662185-iphone-15-64gb-gesealed
2024-06-12,iPhone 15,128GB,"€ 750,00",Bon factuur aanwezig nieuw in doos geseald iphone 15 black 128 gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125722332-iphone-15-128-gb-nieuw-geseald-in-doos
2024-06-12,iPhone 15 Pro,128GB,"€ 899,00",Nooit gebruikt en geseald. I.v.m. Verlenging abonnement verkregen maar helaas overbodig. Onzin biedingen word niet op gereageerd.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125506317-geseald-iphone-15-pro-128gb-black-titanium
2024-06-12,iPhone 15 Pro,128GB,"€ 950,00",Nieuwe iphone 15 pro 128gb. Ongeopend.wordtwordt geleverd met bon.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125454983-nieuwe-iphone-15-pro-128gb
2024-06-12,iPhone 15 Pro Max,,"€ 249,00",Iphone 15 pro max / android . Dus geen originele iphones !! Alleen open gemaakt om te kijken of alles werkt. 249 Euro voor 1 iphon,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2125626722-iphone-15-pro-max-1-tb-clone
