Date,Model,Capacity,Price,Link,Description
2024-06-17,iPhone 12 Pro,128GB,"€ 325,00",Te koop aangeboden; iphone 12 pro in de kleur graphite in originele doos batterijcapaciteit 80% links bovenin het scherm een klein,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127473623-iphone-12-pro-128gb-graphite
2024-06-17,iPhone 12 Mini,64GB,"€ 300,00",Perfect werkend en geen beschadigingen inclusief oplader (appel originele lader) batterijpercentage 95% 64 gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127254570-iphone-12-mini-zwart
2024-06-17,iPhone 12,64GB,"€ 250,00","Hoi hoi, reden van verkoop is de aankoop van een nieuwe telefoon. Iphone 12 in het blauw (inclusief het doosje) met een capaciteit",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127368013-iphone-12-blauw-64gb-mag-direct-weg-voor-de-vraagprijs
2024-06-17,iPhone 12 Pro,,"€ 300,00","Heeft altijd in hoesje gezeten en een screenprotector op scherm gehad. Batterij 89% met oplader, diverse hoesjes en nieuwe screenp",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127372306-iphone-12-met-hoesjes-en-screenprotector
2024-06-17,iPhone 12 Mini,128GB,"€ 250,00","Gebruikte maar zeer nette iphone 12 mini kleine cosmetische krasjes, maar niets heftigs 128gb kleur: rood compleet in doos met nog",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127305968-iphone-12-mini-128gb
2024-06-17,iPhone 12,,"€ 250,00",Scherm is kapot maar hij doet het heel goed met lader en doos en eventueel verschillende kleuren hoesjes erbij,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127432687-iphone-12-scherm-kapot-verder-prima
2024-06-17,iPhone 12,64GB,"€ 270,00",Iphone 12 64 gb geen doos met lader kabel zonder krassen 270 vaste prijs,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127452631-iphone-12
2024-06-17,iPhone 12,64GB,"€ 220,00","In perfecte staat, als nieuw. Prijs is vast. Scherm ook krasloos, screenprotector gehad. Batterij 98% gereset en klaar voor gebrui",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127470521-iphone-12-64gb-zgan-zwart-batterij-98-vaste-prijs
2024-06-17,iPhone 12,64GB,"€ 195,00",Schrijf uw aanbod bluetooth werkt niet. Wifi werkt niet. Er zitten twee kleine vlekjes op het scherm,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127543956-iphone-12-64gb
2024-06-17,iPhone 12,128GB,"€ 250,00",Iphone 12 128gb zo goed als nieuw batterijcapaciteit 82% zonder doos helaas bieden naar waarde!!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127379518-iphone-12-128gb
2024-06-17,iPhone 12 Mini,64GB,"€ 250,00","Heeft wat gebruiksporen, maar is nog in goede staat. Ik verkoop deze iphone, omdat ik voor het werk een nieuwe heb gekregen en dez",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127504476-iphone-12-mini-blauw-64gb
