Date,Model,Capacity,Price,Link,Description
2024-06-04,iPhone Xs Max,,"€ 75,00",Iphone xs max face id werkend barst voor en achter batterij 84% met doos en lader,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122748078-iphone-xs-max
2024-06-04,iPhone Xs Max,64GB,"€ 200,00",Te koop i.v.m. Aanschaf ander toestel. Goedwerkende en in nieuwstaat verkerende iphone xs max. Geen krassen en nog geheel originee,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122618735-iphone-xs-max-64gb-nieuwstaat
2024-06-04,iPhone Xs Max,,"€ 140,00",Hele nette iphone xs max. Telefoon is 100% functioneel. Telefoon word geleverd met lader en doos. Telefoon kan je alleen ophalen e,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122713245-apple-iphone-xs-max
2024-06-04,iPhone Xs Max,64GB,"€ 200,00",De conditie is goed en werkend,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122824831-iphone-xs-max-64gb-silver
2024-06-04,iPhone Xs Max,64GB,"€ 200,00","Ik verkoop dit omdat ik een nieuwe telefoon heb gekocht. Wordt geleverd met een hoesje. De conditie is goed (krasvrij, geen schade",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122741266-iphone-xs-max-64-gb-krasvrij
2024-06-04,iPhone Xs Max,64GB,"€ 150,00",Iphone xs max met 64 gb (zwart kleurig) !geen oplader ter beschikking!,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122741109-iphone-xs-max-64-gb
2024-06-04,iPhone Xs Max,,"€ 100,00",Een van de camera’s is defect. 100 Euro vaste prijs,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122859373-iphone-xs-max
2024-06-04,iPhone Xs Max,512GB,"€ 225,00",In zeer goede conditie met hoesje en doos,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122662828-iphone-xs-max-512gb
2024-06-04,iPhone Xs Max,256GB,"€ 220,00","Nog in nette staat, een witte iphone xs max. 256Gb. Werkt nog naar behoren! Mag weg voor €220,- gaat weg ivm aanschaf nieuwe",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122832177-witte-iphone-xs-max
