Date,Model,Capacity,Price,Link,Description
2024-06-25,iPhone 8 Plus,256GB,"€ 145,00",Hierbij verkoop ik mijn zo goed als nieuwe iphone 8 plus met 256gb ik doe hem weg omdat ik deze minder gebruik zoals u op de fotos,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129981040-iphone-8-plus-256gb-met-doos-zeer-netjes-met-screenprotector
2024-06-25,iPhone 8 Plus,64GB,"€ 100,00","Iphone 8 plus rosé gold 64gb + doos. Helemaal netjes. Mooiste iphone die ik heb gehad, maar wegens nieuwe telefoon uiteraard te ko",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130071455-iphone-8-plus-rose-gold-64gb-doos
2024-06-25,iPhone 8,,"€ 75,00","Iphone 8+ zonder oplader, schade vrij,",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130080751-iphone-8
2024-06-25,iPhone 8,64GB,"€ 70,00",Apple iphone 8 wit/goud met originele doos 64gb werkt prima batterij 74% gratis wit beschermhoesje erbij,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129862057-iphone-8-64-gb-wit-goud-met-originelendoos
2024-06-25,iPhone 8,64GB,"€ 100,00",Te koop iphone 8 64gb rood apparaat werkt prima en scherm is in goede conditie er heeft altijd een schermprotector op de iphone ge,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130059542-iphone-8-rood
2024-06-25,iPhone 8,64GB,"€ 50,00","Iphone 8 64gb batterijpercentage: 78% scherm gebarsten, verder nog volledig werkend.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129907025-iphone-8-64gb
2024-06-25,iPhone 8 Plus,,"€ 60,00",Ik verkoop dit omdat ik ze niet meer gebruik. Allebei de telefoon hebben hele lichte krasjes. Maar niet op het scherm. Accu condit,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130044118-iphone-8-en-7plus-zijn-los-van-elkaar-te-koop
2024-06-25,iPhone 8,64GB,"€ 75,00",Apple iphone 8 64gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129886724-apple-iphone-8
2024-06-25,iPhone 8,,"€ 100,00",Wegens nieuwere iphone verkopen we deze iphone 8,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129869114-iphone-8
2024-06-25,iPhone 8 Plus,64GB,"€ 85,00","Iphone 8 plus, gold, 64gb inclusief originele doos. Zonder toebehoren. Zie hieronder voor attributen.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130101058-iphone-8-plus-64gb-goud
2024-06-25,iPhone 8,64GB,"€ 70,00",Mooie iphone 8 met hoesje,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130108658-apple-iphone-8-64gb
2024-06-25,iPhone 8 Plus,64GB,"€ 139,00",Hallo hierbij een iphone 8 plus van 64 gb zo goed als nieuwe geheugen van 64 gb zeker met de doos en hoesje alles is werkend te zi,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129990647-iphone-8-plus-van-64-gb-zo-goed-als-nieuwe
2024-06-25,iPhone 8,,"€ 180,00",Ios 3.1.3 Werkt goed. Batterij is in orde. Heeft gebruikssporen op de achterkant. Oplader inbegrepen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129868915-iphone-2g-8gb
2024-06-25,iPhone 8 Plus,64GB,"€ 125,00","Omdat ik mijn abonnement verlengd heb, bied ik hierbij mijn iphone 8 plus aan. Hij ziet er prima uit en werkt volledig naar behore",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129838738-iphone-8-plus-64-gb-zwart-simlock-vrij
2024-06-25,iPhone 8,64GB,"€ 100,00","Beste, verkoop hier een top iphone 8 64gb, toestel is in zeer nette staat en komt met originele oplader en doorzichtige bumper cas",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129881128-iphone-8-64gb-96-batterij-incl-oplader-als-nieuw
2024-06-25,iPhone 8 Plus,64GB,"€ 149,99","Wilt u dit product direct in onze webshop bestellen en veilig met ideal afrekenen, klik dan op de link onderaan de advertentie! In",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2129958318-apple-iphone-8-plus-64gb-grijs-gebruikt
2024-06-25,iPhone 8 Plus,128GB,"€ 600,00",Heb je een gebarsten scherm. Strepen in je beeld. Of andere problemen met je lcd. Neem dan snel contact op of kom langs bij ons in,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2130076250-iphone-14-plus-zwart-128-gb-600
