Date,Model,Capacity,Price,Link,Description
2024-06-19,iPhone X,,"€ 85,00",Mooie telefoon met nieuwe scherm. Voor meer vragen stuur een bericht,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128109241-apple-iphone-x
2024-06-19,iPhone X,64GB,"€ 150,00",Mooie iphone x. Alles werkt zoals het hoort. Batterij en scherm zijn laatst vervangen(professioneel). Batterij is 100%. Face id we,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128059838-iphone-x-64gb-100-batterijconditie
2024-06-19,iPhone X,64GB,"€ 130,00","Iphone x 64gb space grey het werkt goed. Het is altijd beschermd in een hoesje met screenprotector, dus ziet het nog keurig uit, g",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128187082-iphone-x-64gb-space-grey
2024-06-19,iPhone X,64GB,"€ 200,00","Iphone x max 64 gb , zwart",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128189404-iphone-x-max-64-gb-zwart
2024-06-19,iPhone X,256GB,"€ 199,00",Hallo hierbij een zwarte iphone xs max 256 gb met een hoesje alles is werkend te zien behalve de face id werk echt goed bieden van,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127966330-iphone-xs-max-black-256-256-gb
2024-06-19,iPhone X,64GB,"€ 90,00",De iphone is weinig gebruikt en vroeg in zijn gebruik fase stuk gegaan. Daarom gaat de telefoon voor een klein prijsje weg.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128026309-iphone-x-64-gb-space-gray-gebroken-scherm
2024-06-19,iPhone X,256GB,"€ 200,00",Iphone x 256 gig,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128169848-iphone-x-256-gig
2024-06-19,iPhone X,64GB,"€ 150,00","Iphone x - top staat! - 64Gb kleur: zwart opslag: 64gb batterijcapaciteit 97% nieuwe batterij, telefoon is in topstaat! Snelste re",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128183139-apple-iphone-x-top-staat-64gb
