Date,Model,Capacity,Price,Link,Description
2024-06-18,iPhone X,256GB,"€ 100,00",Te koop apple iphone x 256 gig. Ziet er goed uiten werkt prima. Incl. Oplader en origineel doosje. Verzenden met track & trace,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127669231-iphone-x-256gig
2024-06-18,iPhone X,,"€ 90,00",Mooie telefoon met nieuwe scherm. Voor meer vragen stuur een bericht,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127838020-apple-iphone-x
2024-06-18,iPhone X,64GB,"€ 125,00","Iphone x 64gb, in goede conditie. Altijd gebruikt in een hoesje en zonder krasjes.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127707386-iphone-x-64gb-in-goede-staat
2024-06-18,iPhone X,256GB,"€ 145,00",De iphone heeft een batterijcapaciteit van 78%. Paar barstjes op de achterkant maar de camera is niet beschadigd. Je krijgt het ho,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127810869-iphone-x-256gb
2024-06-18,iPhone X,64GB,"€ 120,00",Telefoon is geheel onbeschadigd. Altijd met hoesje en screenprotector beschermd. Alles werkt zoals het hoort. Incl doos en lader.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127861901-iphone-x-64-gb-in-zeer-nette-staat
2024-06-18,iPhone X,256GB,"€ 200,00","Iphone x met 256gb geheugen, kleur zwart in onbeschadigde staat en goed werkende batterij.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127655146-iphone-x-256gb-zwart
2024-06-18,iPhone X,256GB,"€ 150,00","Beste, hierbij een nieuwe iphone x aangeboden met 256gb geheugen. Zoals zichtbaar is deze in een andere behuizing gestopt. Voorkeu",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127712601-nieuwe-iphone-x-256gb-batt-100
2024-06-18,iPhone X,,"€ 50,00","Tochscreen werkt niet, onderdelen zijn goed alleen als de telefoon aan gaat reageert hij niet op hetgene waar je op klikt",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127557013-iphone-x-touchscreen-kapot
2024-06-18,iPhone X,64GB,"€ 150,00",Ik verkoop dit omdat ik een nieuwe telefoon heb gekocht.de conditie is goed altijd screenprotector gedragen en achterkant ook heel,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127666446-iphone-x-64gb
2024-06-18,iPhone X,64GB,"€ 120,00",Refurbished iphone x 97% batterij geen beschadigingen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127581012-apple-iphone-x-64gb
2024-06-18,iPhone X,,"€ 120,00",Werkt zoals het hoort. Zo gloed als nieuw alleen en barst een de voorkant. Maar dat was het ook. Over de prijs kan gehandeld worde,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127559155-iphone-x
2024-06-18,iPhone X,64GB,"€ 150,00",Hallo te koop: een zwart iphone x van 64 gb top staat en batterij capaciteit van 89% zeer netjes en alles is werkend te zien biede,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127794171-iphone-x-zwart-64-gb-echt-top-staat-zonder-problemen
2024-06-18,iPhone X,256GB,"€ 150,00",Iphone x 256 gb spacegray in nieuwstaat geen beschadigingen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127694869-iphone-x-256-gb
2024-06-18,iPhone X,64GB,"€ 180,00",Hallo hierbij een iphone xs max zwart van 64 gb alles doet het gewoon prima geen face id hij is met een hoesje bij wil minimale 18,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127714945-iphone-xs-max-zwart-van-64-gb-zeer-netjes
